Title,Description,Category,Author,Publish_Date
How Pfizer is Using Learning & Development to Build the Future...,Learn how Pfizer’s Sean Hudson is driving a learning-centric culture to build the future of work.,Learning and development,Lydia Abbot,"Aug 3, 2021"
The Do’s and Don’ts of Hybrid Work,The moment has arrived. Your office is officially reopening. Try these 3 do's and don'ts of hybrid work to help with your transition to hybrid work.,Productivity tips,Paula Rizzo,"Aug 2, 2021"
28 New Skills You Can Learn on LinkedIn Learning This Week,"Whether you’re learning how to prepare for a career transition or honing your video skills, we’ve got you covered on those topics and more.",New courses,Rachel Parnes,"Aug 1, 2021"
Learn New Skills Live from the Experts in August,"To help you continue your learning journey and build the skills most relevant to you, check out upcoming LinkedIn Live conversations hosted by our expert instructors.",Career success tips,Zoë Kelsey,"Jul 30, 2021"
5 Steps to Manage the Inner Critic Standing Between You and Yo...,"Critical voices can prevent you from getting out in the job market, and keep you stuck. They result from a negative mindset that can sabotage your job search, while a positive m...",,Susan Rietano Davey,"Jul 26, 2021"
32 New Skills You Can Learn on LinkedIn Learning This Week,"Whether you’re learning how to get funded to grow your business or honing your data science skills, we’ve got you covered on those topics and more.",New courses,Rachel Parnes,"Jul 25, 2021"
17 New Skills You Can Learn on LinkedIn Learning This Week,"Whether you’re learning international business skills or honing your security skills, we’ve got you covered on those topics and more. Check out one of the 17 new courses this week.",New courses,Rachel Parnes,"Jul 18, 2021"
How Oregon Used LinkedIn to Market and Strengthen Their Workfo...,Their dedication is paying off.,Government,Paul Petrone,"Jul 16, 2021"
How to Give Constructive Feedback to Your Boss,What do you do when you disagree with something your manager said or how they’re handling a situation?It can be tricky to open up that conversation and give feedback up the chain.,Productivity tips,Rachel Parnes,"Jul 12, 2021"
5 Salary Negotiation Strategies to Ask for (and get) What You'...,There’s a reason many people dread salary negotiations—it can be really hard to ask for what you’re worth. Try these 5 salary negotiation strategies to ask and get what you're w...,,Rachel Parnes,"Jul 2, 2021"
34 New Skills You Can Learn on LinkedIn Learning This Week,"Whether you’re learning to support your teams as offices re-open or honing your SAP skills, we’ve got you covered on those topics and more. Check out one of the 34 new courses t...",New courses,Rachel Parnes,"Jul 1, 2021"
Learn New Skills Live from the Experts in July,"To help you continue your learning journey and build the skills most relevant to you, check out upcoming LinkedIn Live conversations hosted by our expert instructors.",Career success tips,Zoë Kelsey,"Jun 29, 2021"
34 New Skills You Can Learn on LinkedIn Learning This Week,"Whether you’re learning tech recruiting or honing your Microsoft Teams skills, we’ve got you covered on those topics and more. Check out one of the 34 new courses this week.",,Rachel Parnes,"Jun 28, 2021"
Covered California Has Transformed How it Hires and Develops i...,See how Covered California is using LinkedIn to transform how it hires and develops its employees.,Government,Paul Petrone,"Jun 28, 2021"
How to Manage Your Energy to Do Your Best Work and Feel Fulfilled,Try these 3 steps to proactively manage your energy and get closer to fulfillment so you can show up as your best self at work and have energy for the people and the activities ...,Productivity tips,Rachel Parnes,"Jun 28, 2021"
4 Key Benefits to Celebrate in Being Out as an LGBTQ+ Professi...,"During Pride Month, it’s worth celebrating the advantages of being out at work. As an openly lesbian professional, I want to share four key benefits that make life better as an ...",Conversations for change,Dorie Clark,"Jun 21, 2021"
38 New Skills You Can Learn on LinkedIn Learning This Week,"Whether you’re learning agile development in the new world of work or honing your blockchain skills, we’ve got you covered on those topics and more. Check out one of the 36 new ...",New courses,Rachel Parnes,"Jun 20, 2021"
33 New Skills You Can Learn on LinkedIn Learning This Week,"Whether you’re learning to get started as a full-stack web developer or honing your AWS skills, we’ve got you covered on those topics and more. Check out one of the 33 new cours...",New courses,Rachel Parnes,"Jun 14, 2021"
How to Come Out in Your Job Search as LGBTQ+,"Decisions about how 'out' to be are incredibly personal, and there are no ‘right’ answers. In my course, Succeeding as an LGBT professional, we cover topics about thriving at wo...",,Dorie Clark,"Jun 14, 2021"
28 New Skills You Can Learn on LinkedIn Learning This Week,"Whether you’re learning to improve how you resolve conflict or honing your VMware skills, we’ve got you covered on those topics and more. Check out one of the 28 new courses thi...",,Rachel Parnes,"Jun 7, 2021"
3 Steps to Speak Up with Confidence at Work,"Try these three strategies from Chen’s course to improve your ability to speak up at work—whether you’re talking in a group, one-on-one, in person, or on video.",Career success tips,Rachel Parnes,"Jun 7, 2021"
Learn New Skills Live from the Experts in June,"To help you continue your learning journey and build the skills most relevant to you, check out upcoming LinkedIn Live conversations hosted by our expert instructors.",Career success tips,Zoë Kelsey,"Jun 1, 2021"
37 New Skills You Can Learn on LinkedIn Learning This Week,Discover new courses available on LinkedIn Learning to help you build the professional skills to be successful.,New courses,Rachel Parnes,"May 31, 2021"
Finding it Hard to Focus? Meet Your 'Not-to-Do' List,Find your focus and get the most important things done by creating your not-to-do list.,Productivity tips,Rachel Parnes,"May 31, 2021"
31 New Skills You Can Learn on LinkedIn Learning This Week,Discover new courses available on LinkedIn Learning to help you build the professional skills to be successful.,New courses,Rachel Parnes,"May 24, 2021"
5 Mistakes to Avoid at Work to Help You Boost Your Career,"Whether you feel like you are long overdue for a promotion, feeling self-conscious, or looking to get your groove back, watch out for these missteps that could be holding you back.",Career success tips,Rachel Parnes,"May 24, 2021"
How LinkedIn Learning Helped “Save the Day” for the World’s Ol...,See how the University of Cincinnati is using LinkedIn Learning within its renowned co-op program.,Higher education,Paul Petrone,"May 24, 2021"
31 New Skills You Can Learn on LinkedIn Learning This Week,Discover new courses available on LinkedIn Learning to help you build the professional skills to be successful.,,Rachel Parnes,"May 17, 2021"
How to Optimize Your Resume for an ATS,"As a job seeker, you want to create that perfect resume that will help you get noticed by recruiters. But before your resume is even seen by a human, it needs to get past the AT...",Job seeking tips,Rachel Parnes,"May 17, 2021"
5 Skills Trending at the LinkedIn Top Companies—and Free Cours...,"Learn the 5 trending skills at the 2021 LinkedIn Top Companies to grow your career. Check out unlocked courses to learn them free until May 31st, 2021.",Top skills and courses,Dan Brodnitz,"May 11, 2021"
44 New Skills You Can Learn on LinkedIn Learning This Week,Discover new courses available on LinkedIn Learning to help you build the professional skills to be successful.,New courses,Rachel Parnes,"May 10, 2021"
Learn New Skills Live from the Experts in May,"To help you continue your learning journey and build the skills most relevant to you, check out upcoming LinkedIn Live conversations hosted by our expert instructors.",Career success tips,Zoë Kelsey,"Apr 30, 2021"
Extending Our Free Courses for Digital Roles In-Demand,We want to help you learn the skills to grow your career and find the job that’s right for you. That's why we are extending our free courses to learn the most in-demand jobs on ...,Career success tips,Emily Poague,"Apr 29, 2021"
6 Interview Skills that Will Get You Hired,"If you are on the market for your next gig, check out Skillings six skills to nail your next interview—and get one step closer to landing your next big opportunity.",Job seeking tips,Rachel Parnes,"Apr 26, 2021"
34 New Skills You Can Learn on LinkedIn Learning This Week,Discover new courses available on LinkedIn Learning to help you build the professional skills to be successful.,New courses,Zoë Kelsey,"Apr 25, 2021"
"Introducing LinkedIn Learning Hub, an LXP, a skills taxonomy, ...","Get a first look at LinkedIn Learning Hub, an intelligent skill building platform built to help people learn critical skills quickly. It's an LXP and so much more.",Learning and development,James Raybould,"Apr 20, 2021"
5 Tips to Help Managers Coach in a Virtual World,Learn how to coach your team through changes and challenges with these 5 simple tips.,Leadership and management,Gemma Leigh Roberts,"Apr 19, 2021"
Get ready for Learning at Work Week with these five unlocked c...,"For this year’s Learning at Work Week, we’ve unlocked five LinkedIn Learning courses, that demonstrate the value of our natural-born instinct to learn in the new world of work. ...",Learning and development,Emily Maynard,"Apr 19, 2021"
How LinkedIn Learning “Closes the Loop” for Merrimack College,See Merrimack College's effective approach to driving student outcomes.,Higher education,Paul Petrone,"Apr 19, 2021"
29 New Skills You Can Learn on LinkedIn Learning This Week,Discover new courses available on LinkedIn Learning to help you build the professional skills to be successful.,New courses,Zoë Kelsey,"Apr 18, 2021"
How to Make the Most Out of A Meeting with Your Mentor,"Whether you have a mentor or are looking for one, learn 3 tangible tips to make the most out of meeting with your mentor.",Career success tips,Rachel Parnes,"Apr 12, 2021"
Monthly Themes and Learning Ambassadors: How CDW Drives Engage...,"CDW, a Fortune 500 company, leverages LinkedIn Learning to keep their learners engaged and activated.",Customer stories,Amanda Van Nuys,"Apr 12, 2021"
41 New Skills You Can Learn on LinkedIn Learning This Week,Discover new courses available on LinkedIn Learning to help you build the professional skills to be successful.,New courses,Zoë Kelsey,"Apr 5, 2021"
Learn New Skills Live from the Experts in April,"To help you continue your learning journey and build the skills most relevant to you, check out upcoming LinkedIn Live conversations hosted by our expert instructors.",Career success tips,Zoë Kelsey,"Mar 30, 2021"
The Role LinkedIn Learning is Playing in the University of Mar...,See how the University of Maryland is getting value out of LinkedIn Learning.,Higher education,Paul Petrone,"Mar 30, 2021"
Why Autonomy Matters & How to Use it to Spark Your Team’s Inno...,Learn how to gauge the level of autonomy your team feels and simple ways to increase it to foster innovation and commitment.,Leadership and management,Daniel Pink,"Mar 29, 2021"
37 New Skills You Can Learn on LinkedIn Learning This Week,Discover new courses available on LinkedIn Learning to help you build the professional skills to be successful.,New courses,Zoë Kelsey,"Mar 28, 2021"
Here’s How to Find a New Job without Leaving Your Company,"Love where you work, but looking for opportunity to grow in your career? Learn 3 tips to find a new job at the company where you currently work.",,Rachel Parnes,"Mar 23, 2021"
Why This Professor is so Passionate About LinkedIn Learning,See the value Manchester Community College is getting from LinkedIn Learning.,Higher education,Paul Petrone,"Mar 23, 2021"
Do These 3 Small Things to Find Meaning and Purpose in Your Ca...,Discover new courses available on LinkedIn Learning to help you build the professional skills to be successful.,Career success tips,Maxie McCoy,"Mar 22, 2021"
39 New Skills You Can Learn on LinkedIn Learning This Week,Discover new courses available on LinkedIn Learning to help you build the professional skills to be successful.,New courses,Zoë Kelsey,"Mar 21, 2021"
How this University Drove Such Strong Adoption of LinkedIn Lea...,See how Susquehanna University gained value from the online learning platform.,Learning and development,Paul Petrone,"Mar 16, 2021"
L&D’s Secret to Success: Partnering with People Managers,"Get a sneak peak at the manager-specific data, trends, and actionable takeaways from our inaugural State of the Manager report, and see how you can leverage them to better partn...",Learning and development,Laurie Moot,"Mar 16, 2021"
Managers Are Burned Out. These 5 Strategies Can Help You Get B...,Discover 5 tactical strategies to prevent and overcome burnout as a manager with free courses to help.,Leadership and management,Rachel Parnes,"Mar 16, 2021"
Change Management: 3 Steps to Make the Case for Change and Ins...,Learn 3 simple tips to bridge the gap of change and empower others along the way.,Career success tips,Christina Charenkova,"Mar 15, 2021"
35 New Skills You Can Learn on LinkedIn Learning This Week,Discover new courses available on LinkedIn Learning to help you build the professional skills to be successful.,New courses,Zoë Kelsey,"Mar 14, 2021"
Our Takeaways from the 2021 Workplace Learning Report Premiere,See our top takeaways from LinkedIn Learning's global events launching this year's Workplace Learning Report. Hear what industry experts from top brands around the world had to ...,Learning and development,Laurie Moot,"Mar 9, 2021"
Celebrate International Women’s Day with Free Courses and Tips...,Celebrate International Women’s Day with free courses to take steps toward getting back in the workforce.,Conversations for change,Tanya Staples,"Mar 8, 2021"
34 New Skills You Can Learn on LinkedIn Learning This Week,Discover new courses available on LinkedIn Learning to help you build the professional skills to be successful.,New courses,Zoë Kelsey,"Mar 7, 2021"
How to Cultivate the Ideal Relationship with Recruiters to Get...,Cultivate a relationship with a recruiter that helps you with these 3 easy tips.,Job seeking tips,Jenny Foss,"Mar 7, 2021"
Introducing – The 2021 Government Workplace Learning Report,"In a year of unprecedented change, government talent developers are focused on building a more adaptable, inclusive workforce.",Government,Paul Petrone,"Mar 3, 2021"
Gen Z is Already Changing the Workplace,Learn how Gen Z is shaking up the workforce and what they’re learning today.,Career success tips,Rachel Parnes,"Mar 2, 2021"
3 Questions to Ask Yourself Before Following Up on a Job Appli...,"You haven’t heard back after an interview, now what? Discover 3 questions to ask before following up.",,🍊 Madeline Mann 🍊,"Mar 1, 2021"
29 New Skills You Can Learn on LinkedIn Learning This Week,Discover new courses available on LinkedIn Learning to help you build the professional skills to be successful.,,Zoë Kelsey,"Feb 28, 2021"
Learn New Skills in March Live with LinkedIn Learning Instructors,"To help you continue your learning journey and build the skills most relevant to you, check out upcoming LinkedIn Live conversations hosted by our expert instructors.",Career success tips,Zoë Kelsey,"Feb 26, 2021"
Don’t Miss Out on Free Courses that Have Helped Thousands Get ...,We looked at the thousands of professionals who got promoted last year to find out which courses may have helped them take the next step in their career. Don’t miss out on cours...,Top skills and courses,Zoë Kelsey,"Feb 22, 2021"
33 New Skills You Can Learn on LinkedIn Learning This Week,Discover new courses available on LinkedIn Learning to help you build the professional skills to be successful.,New courses,Zoë Kelsey,"Feb 21, 2021"
4 Questions to Figure Out Whether a Company Actually Embraces ...,Discover if a company you’re interviewing with embraces diversity and inclusion with these 4 questions.,Conversations for change,Christopher Taylor,"Feb 21, 2021"
"Engineers, Want to Get Promoted in Your Role? These 5 Free Cou...",We looked at the thousands of engineers who got promoted last year to find out which courses may have helped them take the next step in their career. Watch those 5 courses for f...,Top skills and courses,Erica Lockheimer,"Feb 15, 2021"
Free Courses from the Experts That Teach Sales Skills That Can...,Learn straight from the sales experts who teach the courses that can help you get promoted.,Top skills and courses,Melissa Mangini,"Feb 15, 2021"
How Allies Can Celebrate Black History Month,"Learn how to better understand, honor, and appreciate the Black experience as an ally with free LinkedIn Learning courses.",Conversations for change,Rachel Parnes,"Feb 15, 2021"
"IT Professionals, Want to Get Promoted in Your Role? These 5 F...",We looked at the thousands of IT professionals who got promoted last year to find out which courses may have helped them take the next step in their career. Watch those 5 course...,Top skills and courses,Ashi Sheth,"Feb 15, 2021"
24 New Skills You Can Learn on LinkedIn Learning This Week,Discover new courses available on LinkedIn Learning to help you build the professional skills to be successful.,New courses,Zoë Kelsey,"Feb 14, 2021"
"Black History Month is for Everyone, #YesYou","Whether you identify as Black or not, celebrate Black History Month by choosing to LEAD.",Conversations for change,Daisy Lovelace,"Feb 9, 2021"
"Business Professionals, Want to Get Promoted in Your Role? The...",We looked at the thousands of business professionals who got promoted last year to find out which courses may have helped them take the next step in their career. Watch those 5 ...,Top skills and courses,Emily Poague,"Feb 8, 2021"
Free Courses from Experts That Teach the Soft Skills That Can ...,Learn from the experts who teach the courses that can help you get promoted.,Top skills and courses,Melissa Mangini,"Feb 8, 2021"
Join us at the Workplace Learning Report Premiere Event with L...,"Join us on March 2nd to get a first look at the insights from the 2021 Workplace Learning Report and hear from L&D execs at LEGO, BT, Siemens, Visa, Shaw Industries, and Nationwide",Learning and development,Amanda Van Nuys,"Feb 8, 2021"
"Sales Professionals, Want to Get Promoted in Your Role? These ...",We looked at the thousands of sales professionals who got promoted last year to find out which courses may have helped them take the next step in their career. Watch those 5 cou...,Top skills and courses,Mike Derezin,"Feb 8, 2021"
35 New Skills You Can Learn on LinkedIn Learning This Week,Discover new courses available on LinkedIn Learning to help you build the professional skills to be successful.,New courses,Zoë Kelsey,"Feb 7, 2021"
Learn To Be a Financial Analyst with Free LinkedIn Learning Co...,"Learn how to be a financial analyst, one of the top 10 jobs right now, with these free courses.",Career success tips,Rachel Parnes,"Feb 6, 2021"
Want a Promotion in 2021? Try These 15 (Free) Courses that Hel...,We looked at the tens of thousands of professionals who got promoted last year to find out which courses may have helped them take the next step in their career. Watch those 15 ...,Top skills and courses,Emily Poague,"Feb 2, 2021"
37 New Skills You Can Learn on LinkedIn Learning This Week,Discover new courses available on LinkedIn Learning to help you build the professional skills to be successful.,New courses,Zoë Kelsey,"Jan 31, 2021"
Learn To Be a Graphic Designer with Free LinkedIn Learning Cou...,"Learn how to be a graphic designer, one of the top 10 jobs right now, with these free courses.",Career success tips,Rachel Parnes,"Jan 31, 2021"
How Nationwide’s “Future of Work” Program Is Reskilling and Up...,Learn how Nationwide’s “Future of Work” Program Is Reskilling and Upskilling Employees to Prepare for the Digital Future.,Learning and development,Amanda Van Nuys,"Jan 29, 2021"
Learn New Skills in February Live with LinkedIn Learning Instr...,"To help you continue your learning journey and build the skills most relevant to you, check out upcoming LinkedIn Live events hosted by our expert instructors.",Career success tips,Zoë Kelsey,"Jan 27, 2021"
5 Things to Avoid when Giving Constructive Criticism,"Giving constructive criticism is no easy task, but it's essential to helping professionals improve. Do it well by avoiding these five things.",Career success tips,Rachel Parnes,"Jan 26, 2021"
Learn To Be a Digital Marketer with 12 Free LinkedIn Learning ...,"Learn how to be a digital marketer, one of the top 10 jobs right now, with these free courses.",Career success tips,Rachel Parnes,"Jan 25, 2021"
30 New Skills You Can Learn on LinkedIn Learning This Week,Discover new courses available on LinkedIn Learning to help you build the professional skills to be successful.,New courses,Zoë Kelsey,"Jan 24, 2021"
3 Steps to Put Learning at the Center of Performance Reviews a...,"Encouraging managers to influence learning into performance reviews to inspire career growth and close skills gaps. Plus, there’s a handy IDP template to help get them started.",Learning and development,Amanda Van Nuys,"Jan 20, 2021"
5 Ways to Stay Motivated in Your Job Search,Discover 5 tactical ways to stay motivated in your job search.,Job seeking tips,Rachel Parnes,"Jan 18, 2021"
Learn To Be a Customer Service Specialist with Free LinkedIn L...,Learn how to be a customer service specialist with these free courses.,Career success tips,Rachel Parnes,"Jan 18, 2021"
34 New Skills You Can Learn on LinkedIn Learning This Week,Discover new courses available on LinkedIn Learning to help you build the professional skills to be successful.,New courses,Zoë Kelsey,"Jan 17, 2021"
15 Free Courses Helping Professionals Land Top Jobs,We looked at the millions of professionals who got hired last year to find out which courses may have helped them land their next job. Watch those 15 courses for free for a limi...,Top skills and courses,Emily Poague,"Jan 12, 2021"
Learn To Be a Project Manager with Free LinkedIn Learning Courses,Learn how to be a project manager with these free courses.,Career success tips,Rachel Parnes,"Jan 11, 2021"
39 New Skills You Can Learn on LinkedIn Learning This Week,Discover new courses available on LinkedIn Learning to help you build the professional skills to be successful.,New courses,Zoë Kelsey,"Jan 10, 2021"
Interested in Being a Sales Rep? Watch Free Courses to Land Th...,"Learn the skills to be a sales rep, one of the top 10 jobs right now, with these free courses.",Career success tips,Rachel Parnes,"Jan 4, 2021"
"Your Guide to Informational Interviews: How to request, prepar...",Learn how to expand your network and opportunities through informational interviews.,Career success tips,Rachel Parnes,"Jan 4, 2021"
Boost Your IT Career with Free Courses to Prepare for the Comp...,"Learn how to be an IT support professional, one of the top 10 jobs right now, with these free courses.",Career success tips,Rachel Parnes,"Dec 28, 2020"
16 New Skills You Can Learn on LinkedIn Learning This Week,Discover new courses available on LinkedIn Learning to help you build the professional skills to be successful.,New courses,Zoë Kelsey,"Dec 27, 2020"
Free Courses to Prepare You for the CompTIA Network+ (N10-007)...,"Learn how to be an IT admin, one of the top 10 jobs right now, with these free courses.",Career success tips,Rachel Parnes,"Dec 21, 2020"
33 New Skills You Can Learn on LinkedIn Learning This Week,Discover new courses available on LinkedIn Learning to help you build the professional skills to be successful.,New courses,Zoë Kelsey,"Dec 20, 2020"
The Biggest Trends of 2021 and Free Courses to Get Ahead,Discover the biggest trends of 2021 and how you can stay ahead with free courses to help.,Career success tips,Dan Brodnitz,"Dec 15, 2020"
37 New Skills You Can Learn on LinkedIn Learning This Week,Discover new courses available on LinkedIn Learning to help you build the professional skills to be successful.,New courses,Zoë Kelsey,"Dec 14, 2020"
Discover how visionary L&D leaders make change happen around t...,We interviewed 70 of the highest performing L&D professionals across the globe. Find out what your peers are doing to secure budget and deliver against business strategies,Learning and development,Christina O'Connor,"Dec 9, 2020"
The New Way This University is Helping Students Get Hired,See how the University of Wisconsin-Platteville's career center is driving student outcomes via LinkedIn Learning.,Higher education,Paul Petrone,"Dec 9, 2020"
"6 Ways MediaKind Helped Drive Activation, Engagement, and Buil...",MediaKind drives engagement and builds resilience with LinkedIn Learning.,Customer stories,Amanda Van Nuys,"Dec 7, 2020"
Interested in a Career as a Data Analyst? Watch Free Courses t...,"Learn how to be a data analyst, one of the top 10 jobs right now, with these free courses.",Career success tips,Rachel Parnes,"Dec 7, 2020"
35 New Skills You Can Learn on LinkedIn Learning This Week,Discover new courses available on LinkedIn Learning to help you build the professional skills to be successful.,New courses,Zoë Kelsey,"Dec 6, 2020"
Learn GitHub on LinkedIn Learning with these Free Courses,Learn GitHub with these free courses from LinkedIn Learning and use GitHub repositories on more than 50 courses as you improve your coding skills.,Career success tips,Ray Villalobos,"Dec 2, 2020"
3 Tips to Be More Productive—and Take Back Time for Yourself—W...,Learn 3 ways to be more productive and make more time for you while working remote.,Productivity tips,Rachel Parnes,"Nov 30, 2020"
How IT Pros Celebrate Computer Security Day,Working remote means IT professionals are more in-demand than ever. On Computer Security Day brush up on your IT skills with expert-led courses.,Career success tips,Caroline Wong,"Nov 30, 2020"
"On Intentionality, Learning Mandates, and the Blurred Lines Be...","Head of L&D at Deltek discusses goal-setting, learning mandates, and striking a balance between home and work to fuel learner engagement and impact.",Customer stories,Amanda Van Nuys,"Nov 30, 2020"
25 New Skills You Can Learn on LinkedIn Learning This Week,Discover new courses available on LinkedIn Learning to help you build the professional skills to be successful.,New courses,Zoë Kelsey,"Nov 29, 2020"
3 Mistakes Managers Make in Times of Change (and How to Avoid ...,Learn how to be a great manager and support and motivate teams during difficult times.,Career success tips,Rachel Parnes,"Nov 23, 2020"
31 New Skills You Can Learn on LinkedIn Learning This Week,Discover new courses available on LinkedIn Learning to help you build the professional skills to be successful.,New courses,Zoë Kelsey,"Nov 23, 2020"
How to Have Difficult Conversations about Politics,Learn how to talk about politics with coworkers and family from a negotiation expert.,Productivity tips,"Kwame Christian Esq., M.A.","Nov 23, 2020"
Learn To Be a Software Developer with Free LinkedIn Learning C...,"Learn how to be a software developer, one of the top 10 jobs right now, with these free courses.",Career success tips,Rachel Parnes,"Nov 22, 2020"
4 New Ways to Advance Your Developer Skills and Keep Your Edge,Learn 4 new ways to gain the skills you need to grow your career as a software developer.,Career success tips,Ray Villalobos,"Nov 16, 2020"
Meet the Experts Behind The Fastest Growing Skills in Business,Meet the top experts who teach some of the Fastest Growing Skills in Business.,Top skills and courses,Melissa Mangini,"Nov 15, 2020"
43 New Skills You Can Learn on LinkedIn Learning This Week,Discover new courses available on LinkedIn Learning to help you build the professional skills to be successful.,New courses,Zoë Kelsey,"Nov 14, 2020"
Don’t Miss Out on Free Courses to Learn The Fastest Growing Sk...,Learn the five fastest growing skills this year to stay up to date with the latest trends and stand out for your next opportunity.,,Paul Petrone,"Nov 10, 2020"
Meet Five Experts behind The Fastest Growing Skills in Tech,Meet the top experts in technology who teach some of the Fastest Growing Skills in IT and Engineering.,Top skills and courses,Melissa Mangini,"Nov 10, 2020"
Feeling Overwhelmed? These Free Courses Can Help You Destress ...,"2020 has tested our capacity to manage feelings of stress and overwhelm.To help you destress and find some focus, we've unlocked these courses.",Productivity tips,Rachel Parnes,"Nov 9, 2020"
42 New Skills You Can Learn on LinkedIn Learning This Week,Discover new courses available on LinkedIn Learning to help you build the professional skills to be successful.,New courses,Zoë Kelsey,"Nov 8, 2020"
Learn the 5 Fastest Growing Skills Since the Pandemic Hit (Bon...,Learn the five fastest growing skills in the world since COVID-19 to stay up to date with the latest trends and stand out for your next opportunity.,Top skills and courses,Hari Srinivasan,"Nov 2, 2020"
Learn the 5 Fastest Growing Skills Among Engineers Today (Bonu...,Learn the five fastest growing skills for engineers to stay up to date with the latest trends and build relationships to hit your targets.,Top skills and courses,Erica Lockheimer,"Nov 1, 2020"
Learn the 5 Fastest Growing Skills Among Sales Professionals T...,Learn the five fastest growing skills for sales professionals to stay up to date with the latest trends and build relationships to hit your targets.,Top skills and courses,Mike Derezin,"Nov 1, 2020"
45 New Skills You Can Learn on LinkedIn Learning This Week,Discover new courses available on LinkedIn Learning to help you build the professional skills to be successful.,New courses,Zoë Kelsey,"Oct 31, 2020"
Learn New Skills in November Live with Instructors,"To help you continue your learning journey and build the skills most relevant to you, check out upcoming LinkedIn Live events hosted by our expert instructors in November.",New courses,Zoë Kelsey,"Oct 30, 2020"
Learn the 5 Fastest Growing Skills Among IT Professionals Toda...,Learn the five fastest growing skills for IT professionals to stay up to date with the latest trends and build relationships to hit your targets.,Top skills and courses,Ashi Sheth,"Oct 27, 2020"
43 New Skills You Can Learn on LinkedIn Learning This Week,Discover new courses available on LinkedIn Learning to help you build the professional skills to be successful.,New courses,Zoë Kelsey,"Oct 26, 2020"
Learn the 5 Fastest Growing Skills Among Business Professional...,Learn the five fastest growing skills for business professionals to stay up to date with the latest trends and build relationships to hit your targets.,Top skills and courses,Emily Poague,"Oct 26, 2020"
38 New Skills You Can Learn on LinkedIn Learning This Week,Discover new courses available on LinkedIn Learning to help you build the professional skills to be successful this week.,New courses,Zoë Kelsey,"Oct 19, 2020"
SM Supermalls Invests in Learning to Accelerate Organizational...,Learn more about how SM Supermalls utilises Linkedin Learning to accelerate their digital transformation,Customer stories,Shuxian Li,"Oct 19, 2020"
Top 10 Takeaways from the LinkedIn Learning Virtual Summit—“Th...,"Top takeaways from an incredible lineup of speakers, thought leaders, and L&D practitioners as they shared how they are thinking about the future of learning.",Learning and development,Amanda Van Nuys,"Oct 14, 2020"
How to Talk About Race at Work,Learn how to have a conversation at work that helps to create an inclusive environment and move towards equity,Conversations for change,"Kwame Christian Esq., M.A.","Oct 12, 2020"
39 New Skills You Can Learn on LinkedIn Learning This Week,Discover new courses available on LinkedIn Learning to help you build the professional skills to be successful in October.,New courses,Zoë Kelsey,"Oct 11, 2020"
Continue Learning During Global Diversity Awareness Month with...,"Continue learning during Diversity Awareness Month with free LinkedIn Learning courses on anti-racism, allyship, belonging, mentorship, and more.",Conversations for change,Jacqueline Jones,"Oct 8, 2020"
How This University is Using LinkedIn Learning to Make Their S...,See how the University of Toronto Mississauga is using LinkedIn Learning to drive student outcomes.,Higher education,Paul Petrone,"Oct 6, 2020"
Prioritize Your Mental Health with LinkedIn Learning Courses,Discover how to support your mental health in these challenging times with free courses.,Career success tips,Jolie Miller,"Oct 6, 2020"
38 New Skills You Can Learn on LinkedIn Learning This Week,Discover new courses available on LinkedIn Learning to help you build the professional skills to be successful.,New courses,Zoë Kelsey,"Oct 5, 2020"
World Teachers’ Day - The Teachers You Need Today,"Today’s way of teaching is evolving. In honor of World Teachers’ Day, discover the teachers you need today.",Career success tips,Mordy Golding,"Oct 5, 2020"
Learn New Skills in October Live with Instructors,"To help you continue your learning journey and build the skills most relevant to you, check out upcoming LinkedIn Live events hosted by our expert instructors.",New courses,Zoë Kelsey,"Oct 1, 2020"
Don’t Miss Out: The Most Popular Courses of the Year,Over 3 million professionals across the globe watched these courses to help them thrive in today's changing economy. Check them out for free for a limited time.,Top skills and courses,Paul Petrone,"Sep 29, 2020"
Executive Championship of Learning Inspires Avient’s Global Em...,Learn how Avient’s CHRO and L&D leaders worked with the management team to drive a 95% activation and 95% engagement rate across their global workforce,Customer stories,Amanda Van Nuys,"Sep 29, 2020"
Leaning into Learning: How Vocus Successfully Hardwired a Lear...,Learn more about how Vocus successfully embeds a learning culture with a top-down and bottom-up approach,Customer stories,Shuxian Li,"Sep 29, 2020"
4 Ways to Effectively Cope with Big Emotions at Work,Discover how to manage emotions at work and 4 techniques to help you in the moment.,Career success tips,Rachel Parnes,"Sep 28, 2020"
The 20 Most Popular LinkedIn Learning Courses of the Year,Over 3 million professionals across the globe watched these 20 courses to help them thrive in today's changing economy. Check them out for free for a limited time.,Top skills and courses,Dan Brodnitz,"Sep 28, 2020"
28 New Skills You Can Learn on LinkedIn Learning This Week,Discover new courses available on LinkedIn Learning to help you build the professional skills you need to be successful.,New courses,Zoë Kelsey,"Sep 27, 2020"
Join Us: A New Kind of Virtual Event to Help You Navigate the ...,Join your L&D and HR community for this virtual event. An incredible lineup of speakers will share best practices and discuss key trends shaping the industry.,Learning and development,Amanda Van Nuys,"Sep 24, 2020"
L&D’s Role as Chief Mental Health Officer Is Needed Now More T...,Over 50% of employees feel less happy at work after seeing co-workers furloughed or laid off. Find out how you can help employees stay productive.,Learning and development,Amanda Van Nuys,"Sep 23, 2020"
